bid_date,no_players,no_bids,unique_bids,winning_bid
"Friday, April 21, 2023",,385.1,72.9,4574
"Saturday, April 22, 2023",,292.3,65.3,3735
"Sunday, April 23, 2023",,451.9,79.7,5586
"Monday, April 24, 2023",,384,72.3,2668
"Tuesday, April 25, 2023",,563.5,88.6,5685
"Wednesday, April 26, 2023",,530.8,88.6,5355
"Thursday, April 27, 2023",,588.4,89.8,6152
"Friday, April 28, 2023",39.3,546.4,86.8,2320
"Saturday, April 29, 2023",39.8,533.8,86.6,1656
"Sunday, April 30, 2023",23.1,309,63.8,2067
"Monday, May 1, 2023",,,,
"Tuesday, May 2, 2023",33.2,455.5,79.1,3708
"Wednesday, May 3, 2023",39.8,532.2,86.6,5254
"Thursday, May 4, 2023",27.2,418,75.1,2615
"Friday, May 5, 2023",44.6,601.7,90.6,3968
"Saturday, May 6, 2023",32.3,458,80.3,4046
"Sunday, May 7, 2023",38.3,506.2,86.4,5122
"Monday, May 8, 2023",20.8,288.7,61.7,1559
"Tuesday, May 9, 2023",25.2,309.1,65.3,3024
"Wednesday, May 10, 2023",18,223,52.8,1686
"Thursday, May 11, 2023",21.7,302.9,63.1,3660
"Friday, May 12, 2023",20.7,284.4,61.5,3203
"Saturday, May 13, 2023",,,,
"Sunday, May 14, 2023",18.7,271.8,59.8,4068
"Monday, May 15, 2023",25.2,354.5,70.1,4465
"Tuesday, May 16, 2023",29.1,398.7,74.4,2440
"Wednesday, May 17, 2023",22.8,318.2,64.8,4306
"Thursday, May 18, 2023",22.5,332.3,67.1,4704
"Friday, May 19, 2023",34.5,456.6,80.7,1828
"Saturday, May 20, 2023",32.7,516.3,84.2,5453
"Sunday, May 21, 2023",15.2,226.9,52.9,1613
"Monday, May 22, 2023",25.2,349.9,68.8,3967
"Tuesday, May 23, 2023",21.3,275.4,60.9,2062
"Wednesday, May 24, 2023",27.3,365.4,71.5,3708
"Thursday, May 25, 2023",26.5,337.5,68.7,1526
"Friday, May 26, 2023",22.9,318,65.3,4171
"Saturday, May 27, 2023",22.4,321.9,66.1,2620
"Sunday, May 28, 2023",35,530.6,85.1,4684
"Monday, May 29, 2023",16.6,248.6,56.4,3356
"Tuesday, May 30, 2023",26.7,361.2,73.3,1293
"Wednesday, May 31, 2023",39.3,523.3,86.2,3523
"Thursday, June 1, 2023",30.8,405.9,74.5,4396
"Friday, June 2, 2023",43.1,549.3,90.9,3836
"Saturday, June 3, 2023",23.2,294.5,64.3,1595
"Sunday, June 4, 2023",22.8,310.7,65.7,2263
"Monday, June 5, 2023",28.1,371.4,71.7,4346
"Tuesday, June 6, 2023",36,455.7,81.2,4604
"Wednesday, June 7, 2023",28.7,406.8,75.4,5057
"Thursday, June 8, 2023",44.4,653.9,94.4,6356
"Friday, June 9, 2023",44.4,646.3,94.1,6846
"Saturday, June 10, 2023",51.9,815.3,104.2,8660
"Sunday, June 11, 2023",26.7,378.4,72.2,1928
"Monday, June 12, 2023",41,636.5,91.6,4760
"Tuesday, June 13, 2023",54.7,903.4,104.9,10040
"Wednesday, June 14, 2023",,,,
"Thursday, June 15, 2023",23.3,347.2,68.7,3936
"Friday, June 16, 2023",48,728.1,99.7,5315
"Saturday, June 17, 2023",30.1,510.9,81.3,6558